-183.486, 78.033, 1.603,  1.765
-183.481, 77.980, 1.616,  1.798
-183.476, 77.926, 1.628,  1.831
-183.470, 77.871, 1.641,  1.864
-183.465, 77.816, 1.652,  1.897
-183.460, 77.761, 1.662,  1.930
-183.455, 77.706, 1.670,  1.963
-183.449, 77.650, 1.676,  1.996
-183.444, 77.595, 1.680,  2.029
-183.438, 77.539, 1.684,  2.062
-183.433, 77.483, 1.686,  2.095
-183.428, 77.427, 1.688,  2.128
-183.422, 77.371, 1.691,  2.161
-183.417, 77.315, 1.693,  2.194
-183.411, 77.258, 1.696,  2.227
-183.406, 77.202, 1.700,  2.260
-183.400, 77.146, 1.705,  2.293
-183.394, 77.089, 1.711,  2.326
-183.389, 77.032, 1.717,  2.359
-183.383, 76.975, 1.724,  2.392
-183.378, 76.917, 1.731,  2.425
-183.373, 76.860, 1.738,  2.458
-183.368, 76.802, 1.745,  2.491
-183.363, 76.744, 1.753,  2.524
-183.357, 76.685, 1.759,  2.557
-183.352, 76.627, 1.766,  2.590
-183.347, 76.568, 1.772,  2.623
-183.341, 76.509, 1.777,  2.656
-183.336, 76.450, 1.783,  2.689
-183.331, 76.391, 1.788,  2.722
-183.325, 76.331, 1.793,  2.755
-183.320, 76.271, 1.799,  2.788
-183.314, 76.212, 1.804,  2.821
-183.308, 76.152, 1.810,  2.854
-183.303, 76.091, 1.815,  2.887
-183.297, 76.031, 1.821,  2.920
-183.292, 75.970, 1.827,  2.953
-183.286, 75.909, 1.833,  2.986
-183.281, 75.848, 1.839,  3.019
-183.276, 75.787, 1.846,  3.052
-183.271, 75.726, 1.852,  3.085
-183.266, 75.664, 1.858,  3.118
-183.260, 75.602, 1.864,  3.151
-183.255, 75.540, 1.871,  3.184
-183.250, 75.478, 1.877,  3.217
-183.244, 75.415, 1.883,  3.250
-183.239, 75.353, 1.889,  3.283
-183.233, 75.290, 1.896,  3.316
-183.228, 75.227, 1.902,  3.349
-183.222, 75.163, 1.908,  3.382
-183.216, 75.100, 1.914,  3.415
-183.211, 75.036, 1.920,  3.448
-183.205, 74.972, 1.926,  3.481
-183.200, 74.908, 1.932,  3.514
-183.195, 74.844, 1.938,  3.547
-183.190, 74.779, 1.945,  3.580
-183.184, 74.714, 1.951,  3.613
-183.179, 74.649, 1.958,  3.646
-183.174, 74.584, 1.964,  3.679
-183.168, 74.519, 1.971,  3.712
-183.163, 74.453, 1.977,  3.745
-183.158, 74.387, 1.984,  3.778
-183.152, 74.321, 1.991,  3.811
-183.146, 74.255, 1.997,  3.844
-183.141, 74.188, 2.004,  3.877
-183.135, 74.122, 2.010,  3.910
-183.130, 74.055, 2.017,  3.943
-183.124, 73.987, 2.023,  3.976
-183.119, 73.920, 2.030,  4.009
-183.114, 73.852, 2.036,  4.042
-183.108, 73.785, 2.043,  4.075
-183.103, 73.716, 2.050,  4.108
-183.098, 73.648, 2.056,  4.141
-183.093, 73.580, 2.063,  4.174
-183.087, 73.511, 2.070,  4.207
-183.082, 73.442, 2.077,  4.240
-183.076, 73.373, 2.084,  4.273
-183.071, 73.303, 2.090,  4.306
-183.065, 73.234, 2.097,  4.339
-183.060, 73.164, 2.104,  4.372
-183.054, 73.094, 2.111,  4.405
-183.048, 73.023, 2.118,  4.438
-183.043, 72.953, 2.125,  4.471
-183.038, 72.882, 2.132,  4.504
-183.032, 72.811, 2.139,  4.537
-183.027, 72.740, 2.146,  4.570
-183.022, 72.668, 2.153,  4.603
-183.017, 72.597, 2.160,  4.636
-183.011, 72.525, 2.167,  4.669
-183.006, 72.452, 2.174,  4.702
-183.001, 72.380, 2.181,  4.735
-182.995, 72.307, 2.188,  4.768
-182.990, 72.234, 2.195,  4.801
-182.984, 72.161, 2.203,  4.834
-182.978, 72.088, 2.210,  4.867
-182.973, 72.014, 2.217,  4.900
-182.967, 71.940, 2.224,  4.933
-182.962, 71.866, 2.231,  4.966
-182.957, 71.792, 2.239,  4.999
-182.952, 71.717, 2.246,  5.032
-182.946, 71.642, 2.253,  5.065
-182.941, 71.567, 2.260,  5.098
-182.936, 71.492, 2.268,  5.131
-182.930, 71.416, 2.275,  5.164
-182.925, 71.340, 2.283,  5.197
-182.920, 71.264, 2.290,  5.230
-182.914, 71.188, 2.298,  5.263
-182.908, 71.111, 2.305,  5.296
-182.903, 71.034, 2.313,  5.329
-182.897, 70.957, 2.320,  5.362
-182.892, 70.880, 2.328,  5.395
-182.887, 70.802, 2.335,  5.428
-182.881, 70.725, 2.343,  5.461
-182.876, 70.646, 2.350,  5.494
-182.871, 70.568, 2.358,  5.527
-182.866, 70.489, 2.366,  5.560
-182.860, 70.411, 2.374,  5.593
-182.855, 70.331, 2.382,  5.626
-182.850, 70.252, 2.389,  5.659
-182.844, 70.172, 2.397,  5.692
-182.839, 70.092, 2.405,  5.725
-182.833, 70.012, 2.413,  5.758
-182.828, 69.932, 2.420,  5.791
-182.822, 69.851, 2.428,  5.824
-182.817, 69.770, 2.436,  5.857
-182.812, 69.689, 2.444,  5.890
-182.807, 69.607, 2.452,  5.923
-182.802, 69.526, 2.460,  5.956
-182.796, 69.444, 2.468,  5.989
-182.791, 69.361, 2.476,  6.022
-182.786, 69.279, 2.484,  6.055
-182.780, 69.196, 2.492,  6.088
-182.775, 69.113, 2.500,  6.121
-182.769, 69.029, 2.508,  6.154
-182.764, 68.946, 2.516,  6.187
-182.758, 68.862, 2.525,  6.220
-182.753, 68.778, 2.533,  6.253
-182.748, 68.693, 2.541,  6.286
-182.743, 68.608, 2.549,  6.319
-182.738, 68.523, 2.558,  6.352
-182.733, 68.438, 2.566,  6.385
-182.728, 68.352, 2.574,  6.418
-182.722, 68.267, 2.583,  6.451
-182.717, 68.180, 2.591,  6.484
-182.712, 68.094, 2.600,  6.517
-182.706, 68.007, 2.608,  6.550
-182.701, 67.920, 2.616,  6.583
-182.695, 67.833, 2.625,  6.616
-182.690, 67.746, 2.633,  6.649
-182.685, 67.658, 2.642,  6.682
-182.680, 67.570, 2.650,  6.715
-182.675, 67.481, 2.659,  6.748
-182.670, 67.392, 2.668,  6.781
-182.665, 67.303, 2.676,  6.814
-182.660, 67.214, 2.685,  6.847
-182.654, 67.125, 2.694,  6.880
-182.649, 67.035, 2.703,  6.913
-182.644, 66.945, 2.712,  6.946
-182.638, 66.854, 2.721,  6.979
-182.633, 66.763, 2.730,  7.012
-182.627, 66.672, 2.738,  7.045
-182.622, 66.581, 2.747,  7.078
-182.617, 66.489, 2.756,  7.111
-182.611, 66.397, 2.765,  7.144
-182.605, 66.305, 2.774,  7.177
-182.600, 66.213, 2.783,  7.210
-182.594, 66.120, 2.792,  7.243
-182.589, 66.027, 2.801,  7.276
-182.583, 65.933, 2.810,  7.309
-182.577, 65.840, 2.819,  7.342
-182.572, 65.746, 2.828,  7.375
-182.566, 65.651, 2.837,  7.408
-182.561, 65.557, 2.847,  7.441
-182.556, 65.462, 2.856,  7.474
-182.551, 65.366, 2.866,  7.507
-182.546, 65.271, 2.875,  7.540
-182.540, 65.175, 2.884,  7.573
